ADN	= "countries/Adana.txt"
AHS	= "countries/Ahis.txt"
AMS	= "countries/Amasya.txt"
ANK	= "countries/Ankara.txt"
ANP	= "countries/Antep.txt"
AYN	= "countries/Aydinids.txt"
BRN	= "countries/Bartin.txt"
BIG	= "countries/Biga.txt"
BGS	= "countries/Bigadis.txt"
BLC	= "countries/Bilecik.txt"
BOL	= "countries/Bolu.txt"
CRM	= "countries/Chorum.txt"
DYB	= "countries/Diyarbekir.txt"
ERZ	= "countries/Erzincan.txt"
ERM	= "countries/Erzurum.txt"
ESK	= "countries/Eskisehir.txt"
FMG	= "countries/Famagusta.txt"
GEB	= "countries/Gebze.txt"
GEZ	= "countries/Gediz.txt"
HMD	= "countries/Hamidids.txt"
IKD	= "countries/Iskenderun.txt"
JAQ	= "countries/Jebel Aqra.txt"
KRH	= "countries/Karahisar.txt"
KYS	= "countries/Kayseri.txt"
KOY	= "countries/Konya.txt"
KUK	= "countries/Kulekoi.txt"
KTH	= "countries/Kütahya.txt"
MGS	= "countries/Megarsos.txt"
MIL	= "countries/Milas.txt"
PYS	= "countries/Payas.txt"
SMY	= "countries/Smyrna.txt"
SKE	= "countries/Söke.txt"
TRU	= "countries/Tarsus.txt"
TMO	= "countries/Timonion.txt"
VAN	= "countries/Van.txt"
